time,voltage,current,soc
0,4.135,0,0.95
2,4.135,0,0.95
4,4.135,0,0.95
6,4.135,0,0.95
8,4.135,0,0.95
9.99999999999989,4.135,0,0.95
10,3.96492,-20,0.95
10.0000000000001,3.96492,-20,0.95
12.0000000000001,3.96479777777778,-20,0.949888888888889
14.0000000000001,3.96467555555556,-20,0.949777777777778
16.0000000000001,3.96455333333333,-20,0.949666666666667
18.0000000000001,3.96443111111111,-20,0.949555555555555
20.0000000000001,3.96430888888889,-20,0.949444444444444
22.0000000000001,3.96418666666667,-20,0.949333333333333
24.0000000000001,3.96406444444444,-20,0.949222222222222
26.0000000000001,3.96394222222222,-20,0.949111111111111
28.0000000000001,3.96382,-20,0.949
30.0000000000001,3.96369777777778,-20,0.948888888888889
32.0000000000001,3.96357555555556,-20,0.948777777777778
34.0000000000001,3.96345333333333,-20,0.948666666666667
36.0000000000001,3.96333111111111,-20,0.948555555555555
38.0000000000001,3.96320888888889,-20,0.948444444444444
40.0000000000001,3.96308666666667,-20,0.948333333333333
42.0000000000001,3.96296444444444,-20,0.948222222222222
44.0000000000001,3.96284222222222,-20,0.948111111111111
46.0000000000001,3.96272,-20,0.948
48.0000000000001,3.96259777777778,-20,0.947888888888889
50.0000000000001,3.96247555555556,-20,0.947777777777778
52.0000000000001,3.96235333333333,-20,0.947666666666667
54.0000000000001,3.96223111111111,-20,0.947555555555555
56.0000000000001,3.96210888888889,-20,0.947444444444444
58.0000000000001,3.96198666666667,-20,0.947333333333333
60.0000000000001,3.96186444444444,-20,0.947222222222222
62.0000000000001,3.96174222222222,-20,0.947111111111111
64.0000000000001,3.96162,-20,0.947
66.0000000000001,3.96149777777778,-20,0.946888888888889
68.0000000000001,3.96137555555556,-20,0.946777777777778
70.0000000000001,3.96125333333333,-20,0.946666666666667
72.0000000000001,3.96113111111111,-20,0.946555555555555
74.0000000000001,3.96100888888889,-20,0.946444444444444
76.0000000000001,3.96088666666667,-20,0.946333333333333
78.0000000000001,3.96076444444444,-20,0.946222222222222
80.0000000000001,3.96064222222222,-20,0.946111111111111
82.0000000000001,3.96052,-20,0.946
84.0000000000001,3.96039777777778,-20,0.945888888888889
86.0000000000001,3.96027555555556,-20,0.945777777777778
88.0000000000001,3.96015333333333,-20,0.945666666666667
90.0000000000001,3.96003111111111,-20,0.945555555555555
92.0000000000001,3.95990888888889,-20,0.945444444444444
94.0000000000001,3.95978666666667,-20,0.945333333333333
96.0000000000001,3.95966444444444,-20,0.945222222222222
98.0000000000001,3.95954222222222,-20,0.945111111111111
100,3.95942,-20,0.945
